norm_name,college_teams,club_teams,review
julian korchin,california-davis (davis dogs),green river swordfish; oakland ultimate; zyzzyva,
julian li,harvard (red line),harvard (red line); mystery box; skeleton squad,
julian makarechi,temple (alert),jawn,
julian mcmillian,rhodes college (rhodekill),cookie mon$terz; memphis pharaohs,
julian pena,colorado-denver (frostbite),daybreak,
julian reeves,indiana (hoosiermama?s),black sheep; colonels; dark star,
julian reyna,southern methodist (evo),dallas united: neato banditos,
julian rodriguez,central florida (dogs of war),degens of war,
julian saliba,saint louis (archangel); tulane (tucks),gang of disc,
julian saunt,oregon (ego),chimney; dark star; rhino slam!,
julian schultz,stanford (stanford men's ultimate team),anchor,
julian shrader,georgia (jojah),atliens,
julian slater,iupui (jaguars),maumee boys,
julian wiseman,colorado college (wasabi),wasabi,
julie herren,fresno state (rabid),fresno firefall,
julien sommers,dc recruits,virginia vortex,
julius clyburn,pittsburgh (en sabah nur),garden state ultimate; puppies,
julius cohen,michigan (magnum),john doe; mango tree-a; marc; ring of fire,
julius hubby,pittsburgh (en sabah nur); texas-dallas (woof),dallas united: desperados; flash flood; nitro; prime,
julius vo,california-davis (davis dogs),green river swordfish,
junaid ramzan,texas tech (tumbleweed),alamode; deaf fruit,
junhyung park,air force (afterburn); mit (grim beaver),pineapple; the incline,
junior zambrano,depaul (duc),house,
junyi xin,pennsylvania (void),pennsylvania (void),
jup patel,north carolina-wilmington (seamen),banc; right coast,
justen hitchcock,san diego state (federales ); san diego state (federalis),desert penguins,
justin abel,carnegie mellon (mr. yuk),charleston heat stroke; johnny bravo; pittsburgh temper; seven gills,
justin alkire,akron (goonsquad),burning river,
justin argauer,maryland (maryland ultimate),town hall stars,
justin arney,oklahoma state (ultimato); oklahoma state university (ultimato),barnstorm; fork x-senior; trident ii; trident iii,
justin ault,suny-albany (scam),alibi; motive,
justin badgett,vanderbilt (armada),colt; dapper; spring break '93; tanasi,
justin baitinger,messiah (falcons),bear proof,
justin balvanz,rensselaer polytech (trudge); rensselaer polytech-b (trudge b),orcats,
justin barlas,brown-b (brown - b),trout,
justin baylis,drexel (spitfire),ez,
justin bossenbroek,chicago (fission); chicago (junk),haymaker,
justin bowling,purdue (undue ultimate),blink-122 weekends; momintum,
justin burnett,emory (emory juice); illinois state (gnomes),atliens; yee-haw,
justin carter,college of new jersey (revolution),dark star,
justin chan,british columbia (thunderbirds),blackfish,
justin chau,florida state (duf); florida state-b (duf lite),scootlyfe; shrimp boat,
justin chen,mit (grim beaver); pennsylvania (void); texas-b (texas b); texas-c (texas c),pineapple,
justin cheng,california-santa cruz (slugs); california-santa cruz-b (ucsc b (ooze)),battery; wavestorms,
justin cheung,nyu (new york university ),dynasty; houndd; nyu (new york university ); pipe,
justin eads,alabama-birmingham (inferno),war machine,
justin elliott,cosmic u-20 boys,cosmic elite; cosmic u-20 boys,
justin england,north texas (unt),dallas united: outlaws; e.v.i.l.; sprawl; zoo,
justin evans,auburn (aetos),alliance,
justin fang,georgetown (catholic justice),john doe; medicine men,
justin forman,carnegie mellon (mr. yuk),black market i; trident i; westchester magma bears,
justin fraser,allegheny (hellbender),hazard,
justin galin,florida-b (florida b); northeastern-c (salty c dogs),mbta,
justin gneiting,texas-arlington (yucca),messengers-b,
justin greer,colorado-b (cucu); colorado-b (mamabird - b),winc city fog,
justin hering,colorado mines (entropy),springs open team; the incline,
justin hua,iowa state (isuc),demo,
justin jones,washington (sundodgers),bamwagon; mohawk valley wild; souf,
justin juchnewich,ithaca (nawshus ultimate),odyssey,
justin keller,richmond (spidermonkeys),phantom; philadelphia pacmen; richmond floodwall; vault,
justin kenney,kent state (kent state damn gravity),ak pipeline,
justin king,central florida (dogs of war),degens of war; reptar,
justin kroll,washington university-b (contraband),long island riff raff,
justin latz,cincinnati (bearcats); cincinnati (cincinnati),omen; schweingeist,
justin li,seven hills bx,citywide special; dreadnought; garden party; helots; rebels,
justin luna,british columbia (thunderbirds),blackfish,
justin macquiddy,nevada-reno (elevation ultimate),anchor; journeymen,
justin mangis,virginia tech-b (virginia tech b),beef depot (development)-dev,
justin maynard,duke (brimstone); william & mary-b (seahorse),beef depot,
justin mckeen,brigham young (chi); utah valley (utah valley wolverines),powderhogs; the killjoys,
justin mecham,brigham young (chi),bonneville flatball club; utah hatu,
justin melkun,rensselaer polytech (trudge b); rensselaer polytech (trudge); rensselaer polytech-b (trudge b),bees; oakay,
justin mills,harding (harding apocalypse); marcus (marcus),dreadnought,
justin montalbano,emory (emory juice); south florida (scallywags),florida untied; uproar,
justin nazario,central florida (dogs of war),reptar,
justin niehaus,ohio state-b (big buckin' chicken[b]),flying dutchmen; neo,
justin okelly,central connecticut state (blue barracudas),odyssey,
justin perticone,grand valley state (lakers),beacon; eldl; four,
justin petre,marcus high school (marcus (high school open)); texas a&m (dozen); texas a&m-b (dozen matter),texas duffy,
justin pettenuzzo,victoria (vikes),furious george,
justin podnar,british columbia (thunderbirds),furious george; goat,
justin rao,british columbia -b (b-birds),coast; joe fisher,
justin robertson,pennsylvania (void); pennsylvania-b (null),citywide special; pennsylvania (void),
